rep,total,average,yield per plant,# of plants,treatment
1,2301.698,191.8081667,41.84905455,55,CHEMICAL
4,2985.939,271.449,48.94981967,61,CHEMICAL
8,2940.5944,183.78715,50.69990345,58,CHEMICAL
10,1947.8514,162.32095,36.75191321,53,CHEMICAL
14,1263.534,126.3534,25.27068,50,CHEMICAL
17,1679.8608,139.9884,33.597216,50,CHEMICAL
21,2042.234,204.2234,40.84468,50,CHEMICAL
2,2403.907,184.9159231,40.74418644,59,CONTROL
6,3438.617,264.509,55.46156452,62,CONTROL
7,2107.904,210.7904,42.15808,50,CONTROL
12,1589.144,158.9144,29.98384906,53,CONTROL
13,2193.9292,168.7637846,43.878584,50,CONTROL
16,3015.0744,188.44215,60.301488,50,CONTROL
20,1681.244,168.1244,33.62488,50,CONTROL
3,2261.488,188.4573333,37.69146667,60,PREDATOR
5,2494.029,226.7299091,58.00067442,43,PREDATOR
9,2322.4876,165.8919714,41.47299286,56,PREDATOR
11,2134.6008,177.8834,42.692016,50,PREDATOR
15,1666.924,166.6924,33.33848,50,PREDATOR
18,2147.6324,195.2393091,42.952648,50,PREDATOR
19,1092.9056,121.4339556,21.858112,50,PREDATOR