Block,Rep,week,Treatment,Date out,Date in,Adult Lady Beetles,LB larvae,nabids,Green LW,Brown LW,parasitoids,araneae,aphidae,tree hoppers,leaf hoppers,plant hoppes,frog hoppers,harvestmen,Polished,14-spot,Parenthesis,Pink,Orange-spot,Convergent,Harmonia,7-spot,totalLBs,lampyrids,Variegated,notes
2,1,1,CH,,7/9/16,2,0,0,0,0,14,0,89,,,,,0,0,0,0,0,0,0,0,2,2,0,0,
2,2,1,C ,,7/9/16,0,0,0,0,0,9,2,94,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
2,3,1,P,,7/9/16,0,0,0,1,0,5,1,93,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
6,4,1,CH,,7/9/16,0,0,0,0,0,12,3,121,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
6,5,1,P,,7/9/16,1,0,0,0,0,13,0,87,,,,,0,0,0,0,0,0,0,0,0,1,2,1,2 Lampyrids
6,6,1,C,,7/9/16,0,0,0,0,0,11,2,90,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
4,7,1,C,,7/9/16,1,0,0,1,0,18,0,102,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
4,8,1,CH,,7/9/16,0,0,0,0,0,20,0,94,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
4,9,1,P,,7/9/16,1,0,0,0,0,18,2,69,,,,,0,0,0,0,1,0,0,0,0,1,2,0,2 Lampyrids
3,10,1,CH,,7/9/16,0,0,0,0,0,13,3,137,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
3,11,1,P,,7/9/16,1,0,0,0,0,20,5,127,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
3,12,1,C,,7/9/16,0,0,0,0,0,20,0,143,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
5,13,1,C,,7/9/16,5,0,0,0,0,9,3,113,,,,,0,0,0,0,1,0,0,1,0,5,0,3,
5,14,1,P,,7/9/16,3,0,0,0,0,11,0,115,,,,,0,0,0,1,0,0,0,0,0,3,2,2,2 Lampyrids
5,15,1,CH,,7/9/16,0,0,0,0,0,6,2,88,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
5,16,1,C,,7/9/16,0,0,0,0,0,14,3,107,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
5,17,1,CH,,7/9/16,0,0,0,0,0,23,2,105,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
5,18,1,P,,7/9/16,0,0,0,1,0,15,4,74,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,19,1,P,,7/9/16,1,0,0,0,0,27,2,83,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
6,20,1,C,,7/9/16,0,0,0,1,0,29,2,85,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,21,1,CH,,7/9/16,2,0,0,0,0,12,3,97,,,,,0,0,0,0,1,0,0,0,1,2,0,0,
4,1,2,CH,,7/16/16,0,0,0,0,0,15,0,12,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
4,2,2,C,,7/16/16,0,0,0,0,0,17,1,20,,,,,0,0,0,0,0,0,0,0,0,0,3,0,3 lampyrids
4,3,2,P,,7/16/16,2,0,0,0,0,17,1,39,,,,,0,0,0,0,0,0,0,0,0,2,2,2,2 Lampyrids
1,4,2,CH,,7/16/16,1,0,0,0,0,16,2,35,,,,,0,0,0,0,0,0,0,1,0,1,0,0,
1,5,2,P,,7/16/16,0,0,0,0,0,14,2,24,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,6,2,C,,7/16/16,0,0,0,0,0,13,3,32,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
1,7,2,C,,7/16/16,0,0,0,0,0,20,5,36,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,8,2,CH,,7/16/16,1,0,0,0,0,18,2,43,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
1,9,2,P,,7/16/16,0,0,0,0,0,19,2,38,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,10,2,CH,,7/16/16,0,0,0,0,0,24,3,55,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,11,2,P,,7/16/16,0,0,0,0,0,29,2,64,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,12,2,C,,7/16/16,0,0,0,0,0,19,4,66,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
4,13,2,C,,7/16/16,1,0,0,1,0,22,3,60,,,,,0,0,0,0,0,0,0,1,0,1,3,0,3 lampyrids
4,14,2,P,,7/16/16,0,0,0,0,0,27,4,84,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
4,15,2,CH,,7/16/16,1,0,0,0,0,12,1,45,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1 Lampyrid
2,16,2,C,,7/16/16,0,0,0,0,0,29,3,71,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
2,17,2,CH,,7/16/16,0,0,0,0,0,23,3,102,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
2,18,2,P,,7/16/16,0,0,0,0,0,14,1,104,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
6,19,2,P,,7/16/16,0,0,0,0,0,27,2,150,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,20,2,C,,7/16/16,0,0,0,0,0,28,3,179,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,21,2,CH,,7/16/16,1,0,0,0,0,16,0,106,,,,,0,0,0,0,0,0,0,0,1,1,0,0,
6,1,3,CH,,7/22/16,0,0,0,0,0,20,4,94,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
6,2,3,C,,7/22/16,2,0,0,0,0,21,4,77,,,,,0,0,1,0,0,0,0,0,0,2,0,1,
6,3,3,P,,7/22/16,1,0,0,0,0,24,0,77,,,,,0,0,0,1,0,0,0,0,0,1,0,0,
4,4,3,CH,,7/22/16,1,0,0,1,0,19,1,109,,,,,0,0,0,1,0,0,0,0,0,1,0,0,
4,5,3,P,,7/22/16,3,0,0,0,0,34,2,90,,,,,0,0,0,0,0,0,0,0,0,3,0,3,
4,6,3,C,,7/22/16,1,0,0,0,0,35,2,111,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
4,7,3,C,,7/22/16,0,0,0,0,1,25,1,90,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
4,8,3,CH,,7/22/16,0,0,0,0,0,20,9,119,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
3,9,3,P,,7/22/16,1,0,0,0,0,22,3,77,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
4,10,3,CH,,7/22/16,4,0,0,2,0,21,5,117,,,,,0,0,0,0,0,0,0,0,1,4,0,3,
3,11,3,P,,7/22/16,0,0,0,0,0,31,4,101,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
3,12,3,C,,7/22/16,1,0,0,0,0,35,5,110,,,,,0,0,0,0,0,0,0,0,1,1,1,0,1 Lampyrid
3,13,3,C,,7/22/16,1,0,0,2,0,24,2,100,,,,,0,0,0,0,0,0,0,1,0,1,0,0,
3,14,3,P,,7/22/16,0,0,0,0,0,21,4,113,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
3,15,3,CH,,7/22/16,1,0,0,0,0,26,6,85,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1 Lampyrid
4,16,3,C,,7/22/16,0,0,0,0,0,25,4,125,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
4,17,3,CH,,7/22/16,0,0,0,0,0,30,0,133,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
3,18,3,P,,7/22/16,1,0,0,0,0,28,5,144,,,,,0,0,0,0,0,0,0,0,1,1,1,0,1 Lampyrid
6,19,3,P,,7/22/16,1,0,0,0,0,33,2,120,,,,,0,0,0,0,0,0,0,0,1,1,0,0,
6,20,3,C,,7/22/16,1,0,0,0,0,49,2,150,,,,,0,0,0,0,0,0,0,0,1,1,0,0,
4,21,3,CH,,7/22/16,0,0,0,0,0,47,6,171,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
6,1,4,CH,,7/29/16,2,0,0,0,0,25,2,50,,,,,0,0,0,1,0,0,0,1,0,2,0,0,
4,2,4,C,,7/29/16,1,0,0,1,1,30,3,54,,,,,0,0,0,1,0,0,0,0,0,1,0,0,
4,3,4,P,,7/29/16,1,0,0,0,0,27,1,50,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
3,4,4,CH,,7/29/16,0,0,0,0,0,10,2,59,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
3,5,4,P,,7/29/16,0,0,0,0,0,21,4,53,,,,,0,0,0,0,0,0,0,0,0,0,2,0,2 Lampyrids
3,6,4,C,,7/29/16,3,0,0,0,0,18,3,63,,,,,0,0,0,1,0,0,0,0,1,3,0,1,
3,7,4,C,,7/29/16,1,0,0,0,0,23,2,56,,,,,0,0,0,1,0,0,0,0,0,1,1,0,1 Lampyrid
6,8,4,CH,,7/29/16,2,0,0,0,0,26,3,52,,,,,0,0,0,1,0,0,0,0,1,2,1,0,1 Lampyrid
6,9,4,P,,7/29/16,1,0,0,0,0,37,0,52,,,,,0,0,0,0,0,0,0,1,0,1,0,0,
6,10,4,CH,,7/29/16,1,0,0,0,0,17,2,30,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
4,11,4,P,,7/29/16,3,0,0,0,0,20,1,58,,,,,0,0,1,0,0,0,0,1,0,3,0,1,
3,12,4,C,,7/29/16,3,0,0,0,0,24,0,45,,,,,0,0,0,1,0,0,0,0,0,3,0,2,
1,13,4,C,,7/29/16,1,0,0,0,0,32,3,60,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
1,14,4,P,,7/29/16,3,0,0,1,0,20,0,45,,,,,0,0,0,0,0,0,0,1,0,3,0,2,
5,15,4,CH,,7/29/16,0,0,0,1,0,15,3,35,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,16,4,C,,7/29/16,0,0,0,0,0,11,1,51,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
1,17,4,CH,,7/29/16,1,0,0,1,0,16,1,40,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
1,18,4,P,,7/29/16,2,0,0,0,0,28,2,51,,,,,0,0,1,0,1,0,0,0,0,2,0,0,
1,19,4,P,,7/29/16,1,0,0,0,0,30,1,52,,,,,0,0,1,0,0,0,0,0,0,1,0,0,
1,20,4,C,,7/29/16,0,0,0,0,0,20,3,50,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
5,21,4,CH,,7/29/16,1,0,0,0,0,33,1,48,,,,,0,0,0,0,0,0,0,0,1,1,0,0,
1,1,5,CH,,8/5/16,1,0,0,0,0,72,0,91,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
2,2,5,C,,8/5/16,1,0,0,0,0,76,2,119,,,,,0,0,0,0,0,0,0,0,0,1,0,1,
2,3,5,P,,8/5/16,2,0,0,1,0,88,3,129,,,,,0,0,0,0,0,0,0,2,0,2,0,0,
2,4,5,CH,,8/5/16,7,0,0,0,0,78,4,116,,,,,0,0,0,1,0,0,0,0,1,8,0,4,20 spot LB adult
2,5,5,P,,8/5/16,0,0,0,0,0,117,1,106,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1 Lampyrid
1,6,5,C,,8/5/16,0,0,0,0,0,96,2,115,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
5,7,5,C,,8/5/16,1,0,0,0,0,111,0,92,,,,,0,0,1,0,0,0,0,0,0,1,0,0,
2,8,5,CH,,8/5/16,1,0,0,0,0,99,0,123,,,,,0,0,0,0,0,0,0,1,0,1,1,0,1 Lampyrid
2,9,5,P,,8/5/16,3,0,0,0,0,112,0,88,,,,,0,0,1,1,0,0,0,0,0,4,0,0,20 spot LB adult
1,10,5,CH,,8/5/16,4,0,0,0,0,121,5,64,,,,,0,0,1,0,0,0,0,0,0,4,0,3,
1,11,5,P,,8/5/16,1,0,0,0,0,176,2,83,,,,,0,0,0,0,0,0,0,1,0,1,0,0,
1,12,5,C,,8/5/16,4,0,0,0,0,120,1,115,,,,,0,0,0,1,0,0,0,1,0,4,0,2,
1,13,5,C,,8/5/16,3,0,0,0,0,85,1,125,,,,,0,0,0,0,0,0,0,1,0,3,0,2,
5,14,5,P,,8/5/16,3,0,0,0,0,145,1,78,,,,,0,0,0,1,0,0,0,0,0,4,0,1,20 spot LB adult
1,15,5,CH,,8/5/16,1,0,0,0,0,138,2,90,,,,,0,0,0,0,0,0,0,1,0,1,0,0,
2,16,5,C,,8/5/16,3,0,0,0,0,90,2,105,,,,,0,0,1,0,0,0,0,0,0,3,0,2,
1,17,5,CH,,8/5/16,4,0,0,0,0,121,0,66,,,,,0,0,0,0,0,0,0,2,0,4,0,2,
1,18,5,P,,8/5/16,5,0,0,0,0,130,1,101,,,,,0,0,0,0,0,0,0,0,0,5,0,5,
1,19,5,P,,8/5/16,2,0,0,0,0,92,0,89,,,,,0,0,0,0,0,0,0,1,0,2,1,1,1 Lampyrid
1,20,5,C,,8/5/16,3,0,0,0,0,117,0,120,,,,,0,0,0,0,0,0,0,1,0,3,0,2,
5,21,5,CH,,8/5/16,3,0,0,1,0,180,1,98,,,,,0,0,0,0,0,0,0,1,0,3,3,2,3 lampyrids
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
